"id","scheme_id","name","water_source_id","gps_latitude","gps_longitude","county_id","sub_county_id","ward_id","status","description","boundary_geojson","deleted_at"
"94","gsa_schm_dab_030","Shabele bohole","","0.1302","40.5738574","7","","30","active","","",""
"95","gsa_schm_dab_031","BOGYAR BOREHOLE 1","","-0.0157606","40.2526084","7","","30","under_construction","","",""
"96","gsa_schm_dab_032","BULAKHEIR BOREHOLE 2","","0.1072801","40.2985938","7","","30","active","","",""
"97","gsa_schm_dab_033","BULA BANAAN BOREHOLE","","0.0528024","40.3138165","7","","30","active","","",""
"98","gsa_schm_dab_034","GUBAKIBIRBOREHOLE","","0.0749125","40.2404629","7","","30","active","","",""
"99","gsa_schm_dab_035","DOLAL BOREHOLE","","0.1206224","40.3868623","7","","30","active","","",""
"100","gsa_schm_dab_036","WELDONI BOREHOLE 1","","0.0630809","40.4448837","7","","30","active","","",""
"101","gsa_schm_dab_037","WELDONI BOREHOLE 2","","0.0573712","40.3078539","7","","30","under_construction","","",""
"102","gsa_schm_dab_038","BULA KAWANJA BOREHOLE","","0.0616541","40.3234828","7","","30","active","","",""
"103","gsa_schm_dab_039","GODLIYE FARM BOREHOLE","","0.0603704","40.3128192","7","","30","under_construction","","",""
"104","gsa_schm_dab_040","DAIDAI BOREHOLE","","0.0429715","40.3024559","7","","30","active","","",""
"105","gsa_schm_dab_042","BULA KPLC BOREHOLE","","0.057419","40.3078364","7","","30","under_construction","","",""
"106","gsa_schm_dab_043","BULA HUT BOREHOLE","","0.0573215","40.307813","7","","30","active","","",""
"107","gsa_schm_dab_044","DADAAB AP BOREHOLE","","0.0549476","40.3088849","7","","30","active","","",""
"108","gsa_schm_dab_045","Kumahumato boreh8lr","","0.3135497","40.0809273","7","","30","active","","",""
"109","gsa_schm_dab_046","Kumuhumato borewhole 1","","0.3134606","40.0808758","7","","30","inactive","","",""
"110","gsa_schm_dab_047","Alikune borewhole 1","","0.3458561","40.0173451","7","","30","active","","",""
"111","gsa_schm_dab_048","Saretho borewhole 2","","-0.0236708","40.133994","7","","30","active","","",""
"112","gsa_schm_dab_049","Gurow banan borewhole","","0.0272016","39.9865429","7","","30","active","","",""
"113","gsa_schm_dab_050","Gandon borewhole","","0.200739","40.0158611","7","","30","active","","",""
"114","gsa_schm_dab_051","Abakaile borewhole 2","","0.0768579","40.0967789","7","","30","active","","",""
"115","gsa_schm_dab_052","Marodhiley borewhole","","0.1598852","40.0911273","7","","30","active","","",""
"116","gsa_schm_dab_053","Abeyqala borewhole","","0.3822988","39.9341218","7","","30","active","","",""
"117","gsa_schm_dab_054","Madina borewhole","","0.40534","39.8706786","7","","30","active","","",""
"118","gsa_schm_dab_055","Libhahlow borewhole","","0.3081735","40.067667","7","","30","active","","",""
"119","gsa_schm_dab_056","Daru Salam borewhole","","0.2270556","39.96982","7","","30","active","","",""
"120","gsa_schm_dab_057","Lihshel borewhole","","0.0967665","39.9371089","7","","30","active","","",""
"121","gsa_schm_dab_058","Liban borewhole","1","0.3049354","39.8988969","7","20","217","active","","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{""source"":""scheme_boundary""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[39.863535,0.478653],[39.830232,0.473846],[39.781137,0.45977],[39.733415,0.445695],[39.697366,0.388018],[39.68329,0.318668],[39.707666,0.224942],[39.723459,0.171384],[39.778734,0.161428],[39.936319,0.144262],[40.01391,0.136022],[40.099397,0.148725],[40.145746,0.203313],[40.166002,0.286396],[40.174242,0.378405],[40.140253,0.429902],[40.054079,0.454964],[39.977861,0.46595],[39.863535,0.478653]]]}}]}",""
"122","gsa_schm_dab_059","Dertu borehole 1","","0.2753394","39.8045072","7","","30","active","","",""
"123","gsa_schm_dab_061","Bahuri borehole 1","","0.1320542","39.6764314","7","","30","active","","",""
"124","gsa_schm_dab_062","Alikarsadhe borehole","","0.2444878","39.9297424","7","","30","under_construction","","",""
"125","gsa_schm_dab_063","Shubay borehole","","0.2734741","39.7980208","7","","30","active","","",""
"126","gsa_schm_dab_064","Boransis borehole","","0.2959533","39.8404909","7","","30","active","","",""
